Run,NF,fb,xb1,xb2,xb3,xb4,xb5,xb6,xb7,xb8,xb9,xb10,xb11,xb12,xb13,xb14,xb15,xb16,xb17,xb18,xb19,xb20,xb21,xb22,xb23,xb24,xb25,xb26,xb27,xb28,xb29,xb30
24,111997,9.703926551196673e-11,2.118125451072933e-11,-1.806819794934321e-11,5.674107846186678e-11,2.667973933510817e-11,1.838792656448297e-11,4.811608795842376e-12,-3.788366334739141e-12,-4.395775652638889e-12,1.7079656248781137e-11,2.0678591075928014e-12,2.6167805927636817e-11,1.8263038445664964e-11,-4.993679183357216e-11,5.476631177332321e-12,7.30249113867145e-12,-4.3511709793954743e-13,4.5685899684334906e-11,-2.377898520242754e-11,1.747083646445722e-11,-1.4091231770313887e-11,2.4748037780389965e-11,-2.3896067496886406e-11,-2.763772215267359e-11,-5.168681756089372e-11,-2.5773063138677236e-11,4.439138270958306e-12,-1.0103856080033633e-11,-5.5350260756343375e-12,-6.8938619065488775e-12,4.900363704768285e-12
25,113961,9.847811455188094e-11,-4.086029058641073e-11,-9.756287995368593e-13,3.340937582594605e-11,3.0967036815203676e-11,-2.1948179836098067e-11,-1.697797108671977e-11,-5.1045380846463565e-11,1.1620307878973338e-11,1.8020419502382157e-14,3.0025856170767797e-11,-9.207847022975243e-12,-5.243202368761228e-12,-5.885751188827777e-12,-1.4909567638776708e-11,-3.5778244892581026e-11,9.509445802399927e-13,-2.3570395742784636e-11,1.817736898714075e-11,-2.6818771135050443e-11,-4.88218212895221e-12,2.2516347916605733e-11,3.1576817205935254e-11,-3.2630073177488485e-11,-2.025769626226846e-11,-8.86314204959183e-12,-1.8906607456610007e-11,-2.865640167045172e-12,1.4612155129196298e-11,3.126200513726781e-11,-4.617334956844525e-11
26,111871,9.96469573522063e-11,-4.010759972672866e-11,-1.740099831955216e-11,5.010946584314272e-11,-1.0209986424191197e-11,-3.53569437647301e-12,-3.187502992559134e-11,3.0864726335095065e-11,3.494089331992216e-12,8.408384018928204e-12,5.4125095128621884e-12,-9.485894554318097e-12,-1.2402418289404266e-11,-3.056292859417626e-11,-8.923833040981193e-12,-1.3885257723845938e-11,3.2269218556291915e-11,-1.409056787535929e-11,-4.838554655906206e-11,-1.718394844994533e-11,-1.5272698202406866e-11,3.128939760974118e-12,1.79442145019498e-11,-4.959395875359222e-11,1.4685305063738105e-11,3.489265233934003e-11,2.03448706206191e-11,3.63952152601126e-11,-1.8401483105654987e-11,-6.555156784918869e-12,9.6548514126004e-12
27,113794,9.163203529283237e-11,-2.052065176464379e-11,2.6308184315653507e-11,1.648399269552095e-11,2.6827576227352726e-11,-1.518338433797679e-11,1.8452271532339186e-11,-9.821214538148314e-12,-2.4235410076048496e-11,-8.239729487766766e-12,2.5727168090156807e-12,-1.4409903796540076e-11,5.804171919624999e-12,7.243314591367853e-12,1.2084740179743486e-11,1.8201450252932948e-11,1.9649495826225468e-11,-8.744748765981062e-12,4.0447613543537484e-11,-5.6110333112486455e-11,3.4539051486532365e-11,2.569090314282538e-11,2.5334482578164203e-11,1.4739768324701776e-11,3.01526660906163e-11,1.5412035800927613e-11,-1.078300355650082e-11,-1.0705560970995186e-11,-1.846377309780718e-11,3.325852373639258e-11,2.7478170084607596e-11
28,113832,8.439871024279455e-11,2.593112065948287e-11,-2.1087096668572522e-11,1.5838714451469683e-11,3.0218949431490916e-11,4.734453614966484e-12,1.0084865758653303e-11,-1.3848950221081956e-11,-4.012395512460845e-11,-2.7224211609344355e-11,2.6991091593939366e-11,-8.703198846769236e-12,1.302607225674869e-11,-2.1495151522776392e-11,4.5274957271112725e-12,8.384597673290411e-12,7.310312370024162e-12,-2.9278302816606e-11,-1.5967013032158093e-11,-2.648267044166716e-11,-1.4503036632317756e-11,2.3401015128493218e-11,-2.103468631969261e-11,1.9727189784093103e-11,6.016343956229274e-12,-1.738376275052627e-11,4.2145024802835034e-11,2.132516318302786e-11,2.0696343810326813e-11,-1.4866470248459672e-11,-1.4358777465554608e-11
29,112309,9.596634598096898e-11,2.0340308604215598e-11,1.3300725070312173e-11,4.698307978562584e-11,-7.354140635133273e-12,4.070241870371135e-11,6.906827530879718e-12,1.3655219354044683e-12,-3.853031888532014e-12,-1.241736021192739e-11,2.40794341437541e-12,6.337094963411134e-11,1.5263560243507585e-11,-2.092282838623818e-11,-1.7255919582201494e-11,9.826950207723496e-14,-2.7999652224083247e-13,-2.504437877059906e-11,5.313999949961531e-11,-4.168787533086048e-11,1.4795122300424249e-13,1.8006975128049045e-11,-4.528752723421572e-12,-1.0860547615153207e-11,2.043036357692668e-11,-1.064298446550522e-11,1.5478763440050778e-11,-2.2243420208803993e-11,1.3788676716469515e-11,-1.9633727900502413e-11,7.656275934850323e-12
30,112279,9.332667971762021e-11,-3.078109411044548e-11,-1.9537144784921374e-11,1.7690738006564717e-11,2.0225763936239737e-11,-5.242616958099167e-12,4.8951147437822937e-11,6.67457557355768e-11,-9.893529982109345e-13,-3.742431886488641e-12,7.167964419512926e-12,1.633172204260125e-11,-8.189513497342895e-12,1.945719332597759e-11,1.1927631093479016e-11,8.598282850525903e-12,-4.016977099015517e-11,5.064789437645428e-12,-2.3047877036471543e-11,3.875920265370335e-11,-1.7952583769288343e-11,-2.1095338817890257e-11,-3.7090494500889655e-12,9.066374463690072e-12,-2.4604089428630944e-13,-2.588660220260464e-13,-2.1603205551893028e-12,-4.220803552376656e-13,3.291001310327796e-11,-1.9246556518576455e-11,2.028283547358577e-11

Success,30/30,100.00%
Mean NF ,112804.70
Std NF ,890.34
per sd ,0.79 %
